gp_code,gp_name,dist_to_coast_km,dist_to_water_km
186438,MAWADI KP.,123.67,35.81
186443,NAZARE SUPE,120.59,32.23
186454,PIMPRI,121.12,29.92
186447,PANDESHWAR,125.11,29.63
186442,NAYGAON,124.01,25.84
186439,MAVDISUPE,120.31,27.92
186457,PISRVE,118.43,26.23
186401,BHOSALEWADI,115.65,29.02
186431,KOTHALE,116.33,30.83
186464,RANMALA,117.76,32.77
186444,NAZRE K.,120.21,34.44
186430,KOLVIHIRE,119.69,38.14
,,115.33,36.91
186409,DHALEWADI,115.76,33.65
186466,SAKURDE,111.0,36.69
186451,PARINCHE,109.17,37.89
186445,NILUNJ,110.4,32.44
186481,VALUNJ,109.0,32.14
186398,BELSAR,112.4,32.0
186450,PARGOAN,111.67,27.34
186426,KHANWADI,109.24,29.38
186469,SINGAPUR,110.46,24.41
185786,VALTI,110.82,19.27
186479,VAGHAPUR,112.55,22.18
186461,RAJEWADI,114.74,25.05
186473,TEKAWADI,120.57,22.16
186394,AMBLE,116.86,21.83
185625,DALIMB,116.02,17.72
185684,TAMHANWADI,119.18,19.03
185619,BORIENDI,119.77,16.42
185680,SAHAJPUR,120.9,13.27
185621,BORIBHADAK,117.47,14.22
185778,URULIKANCHAN,115.46,12.2
185768,SHINDAVANE,113.2,17.22
,,114.0,16.65
185736,KOREGAON MUL,113.39,11.13
185709,BIVARI,112.5,8.38
185702,ASHTAPUR,115.86,5.47
185707,BHAVARAPUR,115.86,8.48
298904,TILEKARWADI,118.27,10.76
185729,KHAMGAONTEK,119.43,9.33
185662,NANDUR,121.82,10.99
185624,DAHITNE,123.84,7.46
185660,MIRWADI,121.29,6.94
185721,HINGANGAON,118.17,7.22
185767,SHINDEWADI,119.23,4.68
185629,DEVKARWADI,123.76,4.52
185764,SANGVI SANDAS,122.6,1.43
185753,NHAVI SANDAS,119.89,1.62
186500,DHANORE,118.16,1.54
185769,SHIRSAVADI,113.2,5.47
185759,PIMPRISANDAS,116.4,1.78
185710,BURKEGAON,114.81,1.26
186498,DAREKARWADI,117.4,2.51
186554,SANASWADI,115.53,4.83
186512,JETEGAON KH.,114.38,7.88
186535,MUKHAI,113.72,11.83
186511,JATEGAON BK.,116.76,10.94
186557,SHIKRAPUR,118.45,9.34
186520,KASARI,123.51,6.93
186492,BURUNJWADI,121.23,12.01
186528,KONDHAPURI,124.1,8.37
186564,TALEGAON DHAMDHERE,121.71,4.68
186568,VITTHALWADI,124.35,1.15
186562,TAKALI BHIMA,127.75,1.49
185683,TAKLI,129.4,1.31
185687,VADGAONBANDE,131.11,2.01
185669,PANVALI,132.97,0.74
186544,PARODI,131.9,0.95
186540,NIMGAON MHALUNGE,128.0,4.2
186525,KHANDALE,125.78,9.31
186516,KARANJAVANE,131.46,4.73
186497,DAHIWADI,134.55,3.56
186491,BHAMBARDE,133.51,6.99
186567,URALGAON,137.36,3.73
186483,ALEGAONPAGA,137.64,1.62
